usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
3043;339;2010-12-30 18:41:52;7;PLAZA ROMA;2010-12-30 18:50:48;3;RETIRO;9
1728;429;2010-12-30 18:41:22;5;ADUANA;2010-12-30 18:59:52;3;RETIRO;19
3043;351;2010-12-30 18:38:20;7;PLAZA ROMA;2010-12-30 18:40:51;7;PLAZA ROMA;3
2864;478;2010-12-30 18:33:45;6;DERECHO;2010-12-30 19:41:11;6;DERECHO;67
2863;430;2010-12-30 18:32:35;6;DERECHO;2010-12-30 19:41:51;6;DERECHO;69
2292;358;2010-12-30 18:25:11;6;DERECHO;2010-12-30 19:41:14;3;RETIRO;76
2900;430;2010-12-30 18:16:31;7;PLAZA ROMA;2010-12-30 18:32:15;6;DERECHO;16
2546;460;2010-12-30 18:14:32;3;RETIRO;2010-12-30 18:58:56;3;RETIRO;44
3032;441;2010-12-30 18:13:59;7;PLAZA ROMA;2010-12-30 18:29:03;3;RETIRO;15
3422;346;2010-12-30 18:13:32;7;PLAZA ROMA;2010-12-30 18:29:25;3;RETIRO;16
